Year,County,PQI,PQIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10
2007,Colusa,1,Diabetes Short-term Complications,4,14837,27,26.4,,,
2008,Colusa,1,Diabetes Short-term Complications,9,14891,60.4,59.5,,,
2009,Colusa,1,Diabetes Short-term Complications,4,14960,26.7,26.3,,,
2010,Colusa,1,Diabetes Short-term Complications,8,15117,52.9,52.1,,,
2011,Colusa,1,Diabetes Short-term Complications,14,15206,92.1,91,,,
2012,Colusa,1,Diabetes Short-term Complications,7,16676,42,39.5,,,
2013,Colusa,1,Diabetes Short-term Complications,5,16775,29.8,28.1,,,
2014,Colusa,1,Diabetes Short-term Complications,6,16640,36.1,34.9,,,
2015,Colusa,1,Diabetes Short-term Complications,2,13258,15.1,14,,,
2016,Colusa,1,Diabetes Short-term Complications,,,,,3,"15,694",19.1
2017,Colusa,1,Diabetes Short-term Complications,,,,,4,"15,810",25.3
2005,Contra Costa,1,Diabetes Short-term Complications,319,744835,42.8,42.4,,,
2006,Contra Costa,1,Diabetes Short-term Complications,336,747747,44.9,44.5,,,
2007,Contra Costa,1,Diabetes Short-term Complications,346,755752,45.8,45.5,,,
2008,Contra Costa,1,Diabetes Short-term Complications,373,767612,48.6,48.4,,,
2009,Contra Costa,1,Diabetes Short-term Complications,393,780970,50.3,50.2,,,
2010,Contra Costa,1,Diabetes Short-term Complications,380,793960,47.9,47.9,,,
2011,Contra Costa,1,Diabetes Short-term Complications,388,808054,48,48.2,,,
2012,Contra Costa,1,Diabetes Short-term Complications,468,793369,59,60.5,,,
2013,Contra Costa,1,Diabetes Short-term Complications,426,808882,52.7,54.1,,,
2014,Contra Costa,1,Diabetes Short-term Complications,422,818959,51.5,52.4,,,
2015,Contra Costa,1,Diabetes Short-term Complications,324,620275,52.2,54.4,,,
2016,Contra Costa,1,Diabetes Short-term Complications,,,,,254,"876,390",29
2017,Contra Costa,1,Diabetes Short-term Complications,,,,,295,"885,423",33.3
2005,Del Norte,1,Diabetes Short-term Complications,12,22067,54.4,53.4,,,
2006,Del Norte,1,Diabetes Short-term Complications,24,22055,108.8,107.2,,,
2007,Del Norte,1,Diabetes Short-term Complications,21,22315,94.1,92.8,,,
2008,Del Norte,1,Diabetes Short-term Complications,33,22398,147.3,145.9,,,
2009,Del Norte,1,Diabetes Short-term Complications,23,22525,102.1,101.3,,,
2010,Del Norte,1,Diabetes Short-term Complications,58,22507,257.7,255.8,,,
2011,Del Norte,1,Diabetes Short-term Complications,54,22606,238.9,237.6,,,
2012,Del Norte,1,Diabetes Short-term Complications,61,23687,257.5,248.5,,,
2013,Del Norte,1,Diabetes Short-term Complications,39,23420,166.5,161.4,,,
2014,Del Norte,1,Diabetes Short-term Complications,21,23656,88.8,87.2,,,
2015,Del Norte,1,Diabetes Short-term Complications,11,17650,62.3,60.1,,,
2016,Del Norte,1,Diabetes Short-term Complications,,,,,8,"21,672",36.9
2017,Del Norte,1,Diabetes Short-term Complications,,,,,10,"21,558",46.4
2005,El Dorado,1,Diabetes Short-term Complications,21,132739,15.8,16,,,
2006,El Dorado,1,Diabetes Short-term Complications,55,134458,40.9,41.4,,,
2007,El Dorado,1,Diabetes Short-term Complications,53,135852,39,39.7,,,
2008,El Dorado,1,Diabetes Short-term Complications,59,137534,42.9,43.8,,,
2009,El Dorado,1,Diabetes Short-term Complications,54,139337,38.8,39.8,,,
2010,El Dorado,1,Diabetes Short-term Complications,84,140597,59.7,61.6,,,
2011,El Dorado,1,Diabetes Short-term Complications,78,141461,55.1,57.1,,,
2012,El Dorado,1,Diabetes Short-term Complications,78,139213,56,59,,,
2013,El Dorado,1,Diabetes Short-term Complications,85,140808,60.4,63.9,,,
2014,El Dorado,1,Diabetes Short-term Complications,70,146643,47.7,50,,,
2015,El Dorado,1,Diabetes Short-term Complications,50,106572,46.9,50.4,,,
2016,El Dorado,1,Diabetes Short-term Complications,,,,,59,"148,505",39.7
2017,El Dorado,1,Diabetes Short-term Complications,,,,,76,"151,118",50.3
2005,Fresno,1,Diabetes Short-term Complications,322,605300,53.2,50.3,,,
2006,Fresno,1,Diabetes Short-term Complications,326,614966,53,50.2,,,
2007,Fresno,1,Diabetes Short-term Complications,299,624332,47.9,45.4,,,
2008,Fresno,1,Diabetes Short-term Complications,368,634600,58,55.1,,,
2009,Fresno,1,Diabetes Short-term Complications,429,644386,66.6,63.3,,,
2010,Fresno,1,Diabetes Short-term Complications,473,654204,72.3,68.9,,,
2011,Fresno,1,Diabetes Short-term Complications,501,664750,75.4,72,,,
2012,Fresno,1,Diabetes Short-term Complications,501,642666,78,76.2,,,
2013,Fresno,1,Diabetes Short-term Complications,514,650435,79,77.5,,,
2014,Fresno,1,Diabetes Short-term Complications,607,679486,89.3,86.4,,,
2015,Fresno,1,Diabetes Short-term Complications,467,491442,95,94.8,,,
2016,Fresno,1,Diabetes Short-term Complications,,,,,350,"699,317",50
2017,Fresno,1,Diabetes Short-term Complications,,,,,388,"707,571",54.8
2005,Glenn,1,Diabetes Short-term Complications,6,19553,30.7,30.3,,,
2006,Glenn,1,Diabetes Short-term Complications,13,19729,65.9,65,,,
2007,Glenn,1,Diabetes Short-term Complications,8,19842,40.3,39.8,,,
2008,Glenn,1,Diabetes Short-term Complications,9,20067,44.8,44.4,,,
2009,Glenn,1,Diabetes Short-term Complications,9,20155,44.7,44.4,,,
2010,Glenn,1,Diabetes Short-term Complications,5,20313,24.6,24.5,,,
2011,Glenn,1,Diabetes Short-term Complications,10,20400,49,48.8,,,
2012,Glenn,1,Diabetes Short-term Complications,7,21643,32.3,31.4,,,
2013,Glenn,1,Diabetes Short-term Complications,4,21703,18.4,17.9,,,
2014,Glenn,1,Diabetes Short-term Complications,6,21574,27.8,27.4,,,
2015,Glenn,1,Diabetes Short-term Complications,6,16846,35.6,34.4,,,
2016,Glenn,1,Diabetes Short-term Complications,,,,,10,"20,546",48.7
2017,Glenn,1,Diabetes Short-term Complications,,,,,10,"20,671",48.4
2005,Humboldt,1,Diabetes Short-term Complications,64,102809,62.3,60,,,
2006,Humboldt,1,Diabetes Short-term Complications,48,103611,46.3,44.8,,,
2007,Humboldt,1,Diabetes Short-term Complications,58,103821,55.9,54.3,,,
2008,Humboldt,1,Diabetes Short-term Complications,45,104570,43,42,,,
2009,Humboldt,1,Diabetes Short-term Complications,49,105478,46.5,45.5,,,
2010,Humboldt,1,Diabetes Short-term Complications,64,106717,60,58.9,,,
2011,Humboldt,1,Diabetes Short-term Complications,49,107013,45.8,44.9,,,
2012,Humboldt,1,Diabetes Short-term Complications,74,105607,70.1,69.6,,,
2013,Humboldt,1,Diabetes Short-term Complications,67,105726,63.4,63.1,,,
2014,Humboldt,1,Diabetes Short-term Complications,81,108619,74.6,74,,,
2015,Humboldt,1,Diabetes Short-term Complications,76,79121,96.1,96.5,,,
2016,Humboldt,1,Diabetes Short-term Complications,,,,,37,"109,930",33.7
2017,Humboldt,1,Diabetes Short-term Complications,,,,,44,"110,444",39.8
2005,Imperial,1,Diabetes Short-term Complications,44,109478,40.2,38.2,,,
2006,Imperial,1,Diabetes Short-term Complications,42,112879,37.2,35.3,,,
2007,Imperial,1,Diabetes Short-term Complications,56,115944,48.3,46,,,
2008,Imperial,1,Diabetes Short-term Complications,48,118550,40.5,38.7,,,
2009,Imperial,1,Diabetes Short-term Complications,56,121552,46.1,44.1,,,
2010,Imperial,1,Diabetes Short-term Complications,53,124055,42.7,40.9,,,
2011,Imperial,1,Diabetes Short-term Complications,67,125985,53.2,51,,,
2012,Imperial,1,Diabetes Short-term Complications,79,122385,64.6,63,,,
2013,Imperial,1,Diabetes Short-term Complications,54,122276,44.2,43.3,,,
2014,Imperial,1,Diabetes Short-term Complications,48,130127,36.9,35.7,,,
2015,Imperial,1,Diabetes Short-term Complications,53,92754,57.1,56.8,,,
2016,Imperial,1,Diabetes Short-term Complications,,,,,48,"128,931",37.2
2017,Imperial,1,Diabetes Short-term Complications,,,,,55,"130,534",42.1
2005,Inyo,1,Diabetes Short-term Complications,7,14549,48.1,51,,,
2006,Inyo,1,Diabetes Short-term Complications,6,14456,41.5,43.8,,,
2007,Inyo,1,Diabetes Short-term Complications,4,14505,27.6,29.1,,,
2008,Inyo,1,Diabetes Short-term Complications,8,14485,55.2,58.4,,,
2009,Inyo,1,Diabetes Short-term Complications,6,14651,41,43.4,,,
2010,Inyo,1,Diabetes Short-term Complications,9,14670,61.3,65.1,,,
2011,Inyo,1,Diabetes Short-term Complications,5,14640,34.2,36.4,,,
2012,Inyo,1,Diabetes Short-term Complications,13,16277,79.9,79.7,,,
2013,Inyo,1,Diabetes Short-term Complications,4,16250,24.6,24.7,,,
2014,Inyo,1,Diabetes Short-term Complications,9,15730,57.2,58.7,,,
2015,Inyo,1,Diabetes Short-term Complications,6,12814,46.8,46,,,
2016,Inyo,1,Diabetes Short-term Complications,,,,,3,"14,322",20.9
2017,Inyo,1,Diabetes Short-term Complications,,,,,7,"14,335",48.8
2005,Kern,1,Diabetes Short-term Complications,366,526395,69.5,65.5,,,
2006,Kern,1,Diabetes Short-term Complications,316,544084,58.1,54.7,,,
2007,Kern,1,Diabetes Short-term Complications,396,557795,71,66.9,,,
2008,Kern,1,Diabetes Short-term Complications,485,568635,85.3,80.5,,,
2009,Kern,1,Diabetes Short-term Complications,428,578043,74,70,,,
2010,Kern,1,Diabetes Short-term Complications,494,587730,84.1,79.5,,,
2011,Kern,1,Diabetes Short-term Complications,558,597565,93.4,88.4,,,
2012,Kern,1,Diabetes Short-term Complications,547,576340,94.9,92,,,
2013,Kern,1,Diabetes Short-term Complications,557,583929,95.4,92.6,,,
2014,Kern,1,Diabetes Short-term Complications,565,622019,90.8,86.9,,,
2015,Kern,1,Diabetes Short-term Complications,427,441243,96.8,95.3,,,
2016,Kern,1,Diabetes Short-term Complications,,,,,280,"627,175",44.6
2017,Kern,1,Diabetes Short-term Complications,,,,,335,"633,999",52.8
2005,Kings,1,Diabetes Short-term Complications,61,104744,58.2,53.3,,,
2006,Kings,1,Diabetes Short-term Complications,75,106917,70.1,64.3,,,
2007,Kings,1,Diabetes Short-term Complications,63,108972,57.8,53.1,,,
2008,Kings,1,Diabetes Short-term Complications,36,110111,32.7,30.1,,,
2009,Kings,1,Diabetes Short-term Complications,56,109913,50.9,47.1,,,
2010,Kings,1,Diabetes Short-term Complications,55,110532,49.8,46.1,,,
2011,Kings,1,Diabetes Short-term Complications,60,111322,53.9,50,,,
2012,Kings,1,Diabetes Short-term Complications,70,107485,65.1,61.2,,,
2013,Kings,1,Diabetes Short-term Complications,76,107035,71,66.9,,,
2014,Kings,1,Diabetes Short-term Complications,92,114326,80.5,75.3,,,
2015,Kings,1,Diabetes Short-term Complications,86,78983,108.9,103.8,,,
2016,Kings,1,Diabetes Short-term Complications,,,,,37,"108,996",33.9
2017,Kings,1,Diabetes Short-term Complications,,,,,59,"109,137",54.1
2005,Lake,1,Diabetes Short-term Complications,32,49529,64.6,67.3,,,
2006,Lake,1,Diabetes Short-term Complications,19,49985,38,39.5,,,
2007,Lake,1,Diabetes Short-term Complications,23,50130,45.9,47.8,,,
2008,Lake,1,Diabetes Short-term Complications,21,50505,41.6,43.5,,,
2009,Lake,1,Diabetes Short-term Complications,40,50721,78.9,82.7,,,
2010,Lake,1,Diabetes Short-term Complications,60,51151,117.3,123.1,,,
2011,Lake,1,Diabetes Short-term Complications,55,51085,107.7,113.5,,,
2012,Lake,1,Diabetes Short-term Complications,52,51501,101,106,,,
2013,Lake,1,Diabetes Short-term Complications,75,51581,145.4,153.3,,,
2014,Lake,1,Diabetes Short-term Complications,70,52953,132.2,138.6,,,
2015,Lake,1,Diabetes Short-term Complications,55,39003,141,149.5,,,
2016,Lake,1,Diabetes Short-term Complications,,,,,51,"50,727",100.5
2017,Lake,1,Diabetes Short-term Complications,,,,,30,"50,920",58.9
2005,Lassen,1,Diabetes Short-term Complications,15,27722,54.1,50.8,,,
2006,Lassen,1,Diabetes Short-term Complications,12,27919,43,40.4,,,
2007,Lassen,1,Diabetes Short-term Complications,10,29030,34.4,32.4,,,
2008,Lassen,1,Diabetes Short-term Complications,6,28658,20.9,19.8,,,
2009,Lassen,1,Diabetes Short-term Complications,13,28696,45.3,42.9,,,
2010,Lassen,1,Diabetes Short-term Complications,8,28485,28.1,26.6,,,
2011,Lassen,1,Diabetes Short-term Complications,11,28179,39,37.1,,,
2012,Lassen,1,Diabetes Short-term Complications,11,29146,37.7,35.2,,,
2013,Lassen,1,Diabetes Short-term Complications,11,27797,39.6,37.1,,,
2014,Lassen,1,Diabetes Short-term Complications,9,29236,30.8,29.1,,,
2015,Lassen,1,Diabetes Short-term Complications,10,20747,48.2,45,,,
2016,Lassen,1,Diabetes Short-term Complications,,,,,7,"25,606",27.3
2017,Lassen,1,Diabetes Short-term Complications,,,,,2,"25,814",7.7
2005,Los Angeles,1,Diabetes Short-term Complications,3159,7202516,43.9,42,,,
2006,Los Angeles,1,Diabetes Short-term Complications,3329,7208716,46.2,44.3,,,
2007,Los Angeles,1,Diabetes Short-term Complications,3341,7223112,46.3,44.4,,,
2008,Los Angeles,1,Diabetes Short-term Complications,3417,7281072,46.9,45.2,,,
2009,Los Angeles,1,Diabetes Short-term Complications,3360,7353912,45.7,44,,,
2010,Los Angeles,1,Diabetes Short-term Complications,3644,7416633,49.1,47.5,,,
2011,Los Angeles,1,Diabetes Short-term Complications,3918,7504083,52.2,50.5,,,
2012,Los Angeles,1,Diabetes Short-term Complications,3899,7317992,53.3,52.7,,,
2013,Los Angeles,1,Diabetes Short-term Complications,3928,7410685,53,52.6,,,
2014,Los Angeles,1,Diabetes Short-term Complications,4259,7525122,56.6,55.6,,,
2015,Los Angeles,1,Diabetes Short-term Complications,3186,5622301,56.7,57.1,,,
2016,Los Angeles,1,Diabetes Short-term Complications,,,,,"2,388","7,900,077",30.2
2017,Los Angeles,1,Diabetes Short-term Complications,,,,,"2,953","7,938,602",37.2
2005,Madera,1,Diabetes Short-term Complications,80,100047,80,77.7,,,
2006,Madera,1,Diabetes Short-term Complications,55,102344,53.7,52.3,,,
2007,Madera,1,Diabetes Short-term Complications,43,104227,41.3,40.2,,,
2008,Madera,1,Diabetes Short-term Complications,43,105909,40.6,39.6,,,
2009,Madera,1,Diabetes Short-term Complications,44,106674,41.2,40.3,,,
2010,Madera,1,Diabetes Short-term Complications,54,108385,49.8,48.6,,,
2011,Madera,1,Diabetes Short-term Complications,68,109902,61.9,60.5,,,
2012,Madera,1,Diabetes Short-term Complications,64,106934,59.9,59.4,,,
2013,Madera,1,Diabetes Short-term Complications,76,107252,70.9,70.5,,,
2014,Madera,1,Diabetes Short-term Complications,75,113845,65.9,65,,,
2015,Madera,1,Diabetes Short-term Complications,46,81407,56.5,56.9,,,
2016,Madera,1,Diabetes Short-term Complications,,,,,42,"112,276",37.4
2017,Madera,1,Diabetes Short-term Complications,,,,,44,"113,877",38.6
2005,Marin,1,Diabetes Short-term Complications,44,194828,22.6,23.4,,,
2006,Marin,1,Diabetes Short-term Complications,49,194956,25.1,26.1,,,
2007,Marin,1,Diabetes Short-term Complications,42,196294,21.4,22.3,,,
2008,Marin,1,Diabetes Short-term Complications,41,197929,20.7,21.7,,,
2009,Marin,1,Diabetes Short-term Complications,45,199904,22.5,23.7,,,
2010,Marin,1,Diabetes Short-term Complications,36,201547,17.9,18.9,,,
2011,Marin,1,Diabetes Short-term Complications,52,203181,25.6,27.1,,,
2012,Marin,1,Diabetes Short-term Complications,59,200046,29.5,31.8,,,
2013,Marin,1,Diabetes Short-term Complications,72,202161,35.6,38.5,,,
2014,Marin,1,Diabetes Short-term Complications,50,201613,24.8,26.7,,,
2015,Marin,1,Diabetes Short-term Complications,37,152906,24.2,26.4,,,
2016,Marin,1,Diabetes Short-term Complications,,,,,50,"208,411",24
2017,Marin,1,Diabetes Short-term Complications,,,,,42,"208,468",20.1
2005,Mariposa,1,Diabetes Short-term Complications,5,14466,34.6,36.4,,,
2006,Mariposa,1,Diabetes Short-term Complications,8,14728,54.3,57.3,,,
2007,Mariposa,1,Diabetes Short-term Complications,2,14903,13.4,14.2,,,
2008,Mariposa,1,Diabetes Short-term Complications,6,14996,40,42.8,,,
2009,Mariposa,1,Diabetes Short-term Complications,3,14925,20.1,21.7,,,
2010,Mariposa,1,Diabetes Short-term Complications,6,15017,40,43.1,,,
2011,Mariposa,1,Diabetes Short-term Complications,5,15033,33.3,36,,,
2012,Mariposa,1,Diabetes Short-term Complications,5,16563,30.2,30.7,,,
2013,Mariposa,1,Diabetes Short-term Complications,6,16491,36.4,37,,,
2014,Mariposa,1,Diabetes Short-term Complications,3,16334,18.4,19.3,,,
2015,Mariposa,1,Diabetes Short-term Complications,3,12911,23.2,23.2,,,
2016,Mariposa,1,Diabetes Short-term Complications,,,,,5,"14,650",34.1
2017,Mariposa,1,Diabetes Short-term Complications,,,,,4,"14,692",27.2
2005,Mendocino,1,Diabetes Short-term Complications,23,67693,34,34.3,,,
2006,Mendocino,1,Diabetes Short-term Complications,24,67469,35.6,36.1,,,
2007,Mendocino,1,Diabetes Short-term Complications,30,67582,44.4,45.2,,,
2008,Mendocino,1,Diabetes Short-term Complications,31,68025,45.6,46.6,,,
2009,Mendocino,1,Diabetes Short-term Complications,27,68421,39.5,40.6,,,
2010,Mendocino,1,Diabetes Short-term Complications,51,68517,74.4,76.8,,,
2011,Mendocino,1,Diabetes Short-term Complications,45,68336,65.9,68.3,,,
2012,Mendocino,1,Diabetes Short-term Complications,39,68344,57.1,59.6,,,
2013,Mendocino,1,Diabetes Short-term Complications,48,68379,70.2,73.6,,,
2014,Mendocino,1,Diabetes Short-term Complications,44,69334,63.5,66.4,,,
2015,Mendocino,1,Diabetes Short-term Complications,37,51516,71.8,76.1,,,
2016,Mendocino,1,Diabetes Short-term Complications,,,,,34,"68,571",49.6
2017,Mendocino,1,Diabetes Short-term Complications,,,,,52,"68,970",75.4
2005,Merced,1,Diabetes Short-term Complications,106,162795,65.1,61.2,,,
2006,Merced,1,Diabetes Short-term Complications,86,165009,52.1,49,,,
2007,Merced,1,Diabetes Short-term Complications,107,167724,63.8,60,,,
2008,Merced,1,Diabetes Short-term Complications,99,169736,58.3,55,,,
2009,Merced,1,Diabetes Short-term Complications,92,171809,53.5,50.6,,,
2010,Merced,1,Diabetes Short-term Complications,110,175232,62.8,59.4,,,
2011,Merced,1,Diabetes Short-term Complications,134,178783,75,71,,,
2012,Merced,1,Diabetes Short-term Complications,118,174274,67.7,65.5,,,
2013,Merced,1,Diabetes Short-term Complications,126,176084,71.6,69.5,,,
2014,Merced,1,Diabetes Short-term Complications,153,184892,82.8,79.2,,,
2015,Merced,1,Diabetes Short-term Complications,132,133727,98.7,97.2,,,
2016,Merced,1,Diabetes Short-term Complications,,,,,114,"188,808",60.4
2017,Merced,1,Diabetes Short-term Complications,,,,,126,"192,033",65.6
2005,Modoc,1,Diabetes Short-term Complications,3,7407,40.5,42.7,,,
2006,Modoc,1,Diabetes Short-term Complications,4,7461,53.6,56.7,,,
2007,Modoc,1,Diabetes Short-term Complications,1,7429,13.5,14.4,,,
2008,Modoc,1,Diabetes Short-term Complications,1,7469,13.4,14.3,,,
2009,Modoc,1,Diabetes Short-term Complications,4,7565,52.9,56.7,,,
2010,Modoc,1,Diabetes Short-term Complications,3,7599,39.5,42.3,,,
2011,Modoc,1,Diabetes Short-term Complications,2,7517,26.6,28.8,,,
2012,Modoc,1,Diabetes Short-term Complications,2,9249,21.6,20.5,,,
2013,Modoc,1,Diabetes Short-term Complications,2,9141,21.9,20.8,,,
2014,Modoc,1,Diabetes Short-term Complications,1,8570,11.7,11.7,,,
2015,Modoc,1,Diabetes Short-term Complications,5,7417,67.4,61.5,,,
2016,Modoc,1,Diabetes Short-term Complications,,,,,1,"7,228",13.8
2017,Modoc,1,Diabetes Short-term Complications,,,,,2,"7,187",27.8
2005,Mono,1,Diabetes Short-term Complications,2,10514,19,18.1,,,
2006,Mono,1,Diabetes Short-term Complications,1,10747,9.3,8.8,,,
2007,Mono,1,Diabetes Short-term Complications,2,10719,18.7,17.8,,,
2008,Mono,1,Diabetes Short-term Complications,2,10892,18.4,17.6,,,
2009,Mono,1,Diabetes Short-term Complications,1,11055,9,8.7,,,
2010,Mono,1,Diabetes Short-term Complications,0,11224,0,0,,,
2011,Mono,1,Diabetes Short-term Complications,5,11294,44.3,43,,,
2012,Mono,1,Diabetes Short-term Complications,3,13186,22.8,20.7,,,
2013,Mono,1,Diabetes Short-term Complications,6,12990,46.2,42.3,,,
2014,Mono,1,Diabetes Short-term Complications,6,12503,48,45.1,,,
2015,Mono,1,Diabetes Short-term Complications,0,10444,0,0,,,
2016,Mono,1,Diabetes Short-term Complications,,,,,2,"11,456",17.5
2017,Mono,1,Diabetes Short-term Complications,,,,,1,"11,537",8.7
2005,Monterey,1,Diabetes Short-term Complications,122,294634,41.4,39.4,,,
2006,Monterey,1,Diabetes Short-term Complications,115,292832,39.3,37.4,,,
2007,Monterey,1,Diabetes Short-term Complications,123,293684,41.9,40,,,
2008,Monterey,1,Diabetes Short-term Complications,124,296155,41.9,40.1,,,
2009,Monterey,1,Diabetes Short-term Complications,128,299502,42.7,41,,,
2010,Monterey,1,Diabetes Short-term Complications,165,304351,54.2,52.1,,,
2011,Monterey,1,Diabetes Short-term Complications,137,308056,44.5,42.8,,,
2012,Monterey,1,Diabetes Short-term Complications,166,301958,55,54,,,
2013,Monterey,1,Diabetes Short-term Complications,168,304287,55.2,54.5,,,
2014,Monterey,1,Diabetes Short-term Complications,154,305907,50.3,49.2,,,
2015,Monterey,1,Diabetes Short-term Complications,102,229305,44.5,44.6,,,
2016,Monterey,1,Diabetes Short-term Complications,,,,,93,"321,726",28.9
2017,Monterey,1,Diabetes Short-term Complications,,,,,93,"323,046",28.8
2005,Napa,1,Diabetes Short-term Complications,26,99628,26.1,26.3,,,
2006,Napa,1,Diabetes Short-term Complications,29,100569,28.8,29.1,,,
2007,Napa,1,Diabetes Short-term Complications,26,101701,25.6,25.9,,,
2008,Napa,1,Diabetes Short-term Complications,36,102958,35,35.4,,,
2009,Napa,1,Diabetes Short-term Complications,52,103909,50,50.8,,,
2010,Napa,1,Diabetes Short-term Complications,35,105302,33.2,33.8,,,
2011,Napa,1,Diabetes Short-term Complications,39,106488,36.6,37.3,,,
2012,Napa,1,Diabetes Short-term Complications,37,106095,34.9,35.9,,,
2013,Napa,1,Diabetes Short-term Complications,44,107433,41,42.2,,,
